epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,375.572,0.60227,0.34716,0.84832,0.98129,1,0.99455,0.73446,1.05188,0.42606,1.0236,0.0003665,0.0003665,0.0003665
167,377.731,0.57873,0.33759,0.85689,0.97914,1,0.99455,0.73431,1.03961,0.40984,1.01684,0.0003566,0.0003566,0.0003566
168,379.889,0.5867,0.34718,0.85897,1,0.99808,0.995,0.73788,1.03585,0.40624,1.01355,0.0003467,0.0003467,0.0003467
169,382.138,0.56286,0.3353,0.84202,0.99743,0.98485,0.99471,0.73428,1.04762,0.40396,1.01652,0.0003368,0.0003368,0.0003368
170,384.338,0.58106,0.33276,0.84529,0.99886,0.98485,0.99392,0.73267,1.03552,0.40953,1.01091,0.0003269,0.0003269,0.0003269
171,386.489,0.57955,0.33702,0.85584,1,0.98468,0.99357,0.72723,1.0422,0.40945,1.01116,0.000317,0.000317,0.000317
172,388.65,0.58242,0.33895,0.85091,1,0.98419,0.99392,0.73064,1.04082,0.40747,1.00899,0.0003071,0.0003071,0.0003071
173,390.833,0.57721,0.33278,0.83957,1,0.99818,0.995,0.72172,1.06383,0.40071,1.02673,0.0002972,0.0002972,0.0002972
174,392.985,0.57787,0.33314,0.85071,0.98289,1,0.99485,0.72549,1.06594,0.40205,1.02678,0.0002873,0.0002873,0.0002873
175,395.203,0.59247,0.33882,0.84498,0.9826,1,0.995,0.72544,1.05915,0.40192,1.01389,0.0002774,0.0002774,0.0002774
176,397.459,0.55041,0.33284,0.84002,0.988,1,0.995,0.71566,1.04789,0.40432,1.01437,0.0002675,0.0002675,0.0002675
177,399.71,0.56397,0.33326,0.84497,0.99745,0.98485,0.99485,0.71681,1.03998,0.40625,1.00766,0.0002576,0.0002576,0.0002576
178,401.951,0.57298,0.33781,0.84469,0.98366,1,0.99485,0.72855,1.04028,0.40491,1.00608,0.0002477,0.0002477,0.0002477
179,404.101,0.54744,0.31949,0.84297,1,0.99834,0.995,0.72731,1.03701,0.40695,1.01601,0.0002378,0.0002378,0.0002378
180,406.292,0.551,0.32301,0.84854,0.99645,1,0.995,0.73371,1.03706,0.40988,1.02594,0.0002279,0.0002279,0.0002279
181,408.44,0.59183,0.33717,0.84327,0.99862,1,0.995,0.73104,1.03688,0.40947,1.02249,0.000218,0.000218,0.000218
182,410.68,0.54329,0.32186,0.84425,1,0.996,0.995,0.73409,1.03466,0.40328,1.0169,0.0002081,0.0002081,0.0002081
